timestamp_ms,event,details
686,batch_start,ThreadId(25) files=1 pred=0.01s items=[tests/diagnostics/invalid-buffer.slang(0.01s)]
686,batch_start,ThreadId(35) files=1 pred=0.00s items=[tests/diagnostics/diag-block-comment-test.slang(0.00s)]
686,batch_start,ThreadId(26) files=1 pred=0.00s items=[tests/diagnostics/wave-operations-types.slang(0.00s)]
686,batch_start,ThreadId(27) files=1 pred=0.00s items=[tests/diagnostics/switch-duplicate-case.slang(0.00s)]
686,batch_start,ThreadId(28) files=1 pred=0.00s items=[tests/diagnostics/subscript-missing-return-type.slang(0.00s)]
686,batch_start,ThreadId(21) files=1 pred=0.00s items=[tests/diagnostics/ctor-noncopyable-retval-legal.slang(0.00s)]
686,batch_start,ThreadId(22) files=1 pred=0.00s items=[tests/diagnostics/call-argument-type.slang(0.00s)]
686,batch_start,ThreadId(31) files=1 pred=0.03s items=[tests/diagnostics/dangling-comparison.slang(0.03s)]
686,batch_start,ThreadId(33) files=1 pred=0.01s items=[tests/diagnostics/attribute-error.slang(0.01s)]
686,batch_start,ThreadId(34) files=1 pred=0.01s items=[tests/diagnostics/gh-38-vs.hlsl(0.01s)]
1134,test,ThreadId(18) passed tests/diagnostics/recursive-import.slang duration_ms=57
1154,batch_end,ThreadId(18) total_ms=468 test_sum_ms=57 overhead_ms=411 pred_ms=7 tests=1
1158,test,ThreadId(15) passed tests/diagnostics/cuda-kernel-non-void-return.slang duration_ms=50
1164,test,ThreadId(30) passed tests/diagnostics/command-line/duplicate-target.slang duration_ms=52
1165,test,ThreadId(29) passed tests/diagnostics/command-line/unknown-codegen-target.slang duration_ms=49
1168,test,ThreadId(28) passed tests/diagnostics/subscript-missing-return-type.slang duration_ms=51
1168,test,ThreadId(22) passed tests/diagnostics/call-argument-type.slang duration_ms=54
1172,batch_end,ThreadId(15) total_ms=485 test_sum_ms=50 overhead_ms=435 pred_ms=1 tests=1
1172,test,ThreadId(25) passed tests/diagnostics/invalid-buffer.slang duration_ms=54
1174,test,ThreadId(20) passed tests/diagnostics/hlsl-to-vulkan-shift-diagnostic.hlsl duration_ms=124
1174,test,ThreadId(24) passed tests/diagnostics/command-line/separate-debug-info-unsupported-target.slang duration_ms=65
1174,batch_end,ThreadId(30) total_ms=488 test_sum_ms=52 overhead_ms=436 pred_ms=5 tests=1
1175,batch_end,ThreadId(29) total_ms=489 test_sum_ms=49 overhead_ms=440 pred_ms=2 tests=1
1178,test,ThreadId(8) passed tests/diagnostics/specialization-constants.slang duration_ms=118
1178,batch_end,ThreadId(28) total_ms=492 test_sum_ms=51 overhead_ms=441 pred_ms=0 tests=1
1180,test,ThreadId(19) passed tests/diagnostics/discard-in-rt.slang duration_ms=68
1181,test,ThreadId(27) passed tests/diagnostics/switch-duplicate-case.slang duration_ms=62
1184,batch_end,ThreadId(24) total_ms=498 test_sum_ms=65 overhead_ms=433 pred_ms=4 tests=1
1188,batch_end,ThreadId(20) total_ms=501 test_sum_ms=124 overhead_ms=377 pred_ms=18 tests=1
1188,batch_end,ThreadId(25) total_ms=502 test_sum_ms=54 overhead_ms=448 pred_ms=5 tests=1
1188,batch_end,ThreadId(22) total_ms=502 test_sum_ms=54 overhead_ms=448 pred_ms=2 tests=1
1191,batch_end,ThreadId(27) total_ms=505 test_sum_ms=62 overhead_ms=443 pred_ms=3 tests=1
1194,test,ThreadId(13) passed tests/diagnostics/wavesize-invalid-size.slang duration_ms=88
1195,batch_end,ThreadId(19) total_ms=509 test_sum_ms=68 overhead_ms=441 pred_ms=8 tests=1
1198,test,ThreadId(35) passed tests/diagnostics/diag-block-comment-test.slang duration_ms=84
1201,test,ThreadId(9) passed tests/diagnostics/structuredbuffer-with-unbounded.slang duration_ms=235
1209,test,ThreadId(33) passed tests/diagnostics/attribute-error.slang duration_ms=91
1212,batch_end,ThreadId(35) total_ms=525 test_sum_ms=84 overhead_ms=441 pred_ms=1 tests=1
1214,batch_end,ThreadId(13) total_ms=528 test_sum_ms=88 overhead_ms=440 pred_ms=3 tests=1
1221,test,ThreadId(9) passed tests/diagnostics/recursion.slang duration_ms=16
